Region,Date,Cases
BALI,Mar-24,"1,659"
BANTEN,Mar-24,"2,127"
BENGKULU,Mar-24,579
D.I YOGYA,Mar-24,541
DKI JAKARTA,Mar-24,"2,204"
GORONTALO,Mar-24,212
JAMBI,Mar-24,196
JAWA BARAT,Mar-24,"8,161"
JAWA TENGAH,Mar-24,"1,728"
JAWA TIMUR,Mar-24,"4,988"
KALIMANTAN BARAT,Mar-24,263
KALIMANTAN SELATA,Mar-24,315
KALIMANTAN TENGAH,Mar-24,417
KALIMANTAN TIMUR,Mar-24,915
KALIMANTAN UTARA,Mar-24,84
KEPULAUAN RIAU,Mar-24,73
LAMPUNG,Mar-24,"1,466"
MALUKU,Mar-24,30
MALUKU UTARA,Mar-24,133
NUSA TENGGARA BARAT,Mar-24,520
NUSA TENGGARA TIMUR,Mar-24,630
PAPUA,Mar-24,53
PAPUA BARAT,Mar-24,51
PAPUA BARAT DAYA,Mar-24,
PAPUA PEGUNUNGAN,Mar-24,32
PAPUA SELATAN,Mar-24,
PAPUA TENGAH,Mar-24,
RIAU,Mar-24,175
SULAWESI BARAT,Mar-24,174
SULAWESI SELATA,Mar-24,746
SULAWESI TENGAH,Mar-24,273
SULAWESI TENGGARA,Mar-24,991
SULAWESI UTARA,Mar-24,664
SUMATERA BARAT,Mar-24,194
SUMATERA SELATA,Mar-24,757
SUMATERA UTARA,Mar-24,382
ACEH,Feb-24,180
BABEL,Feb-24,227
BALI,Feb-24,908
BANTEN,Feb-24,"2,109"
BENGKULU,Feb-24,431
D.I YOGYA,Feb-24,302
DKI JAKARTA,Feb-24,767
GORONTALO,Feb-24,390
JAMBI,Feb-24,328
JAWA BARAT,Feb-24,"6,245"
JAWA TENGAH,Feb-24,"1,426"
JAWA TIMUR,Feb-24,"3,472"
KALIMANTAN BARAT,Feb-24,320
KALIMANTAN SELATA,Feb-24,866
KALIMANTAN TENGAH,Feb-24,766
KALIMANTAN TIMUR,Feb-24,"1,150"
KALIMANTAN UTARA,Feb-24,53
KEPULAUAN RIAU,Feb-24,85
LAMPUNG,Feb-24,"1,199"
MALUKU,Feb-24,49
MALUKU UTARA,Feb-24,121
NUSA TENGGARA BARAT,Feb-24,391
NUSA TENGGARA TIMUR,Feb-24,523
PAPUA,Feb-24,48
PAPUA BARAT,Feb-24,78
PAPUA BARAT DAYA,Feb-24,
PAPUA PEGUNUNGAN,Feb-24,14
PAPUA SELATAN,Feb-24,
PAPUA TENGAH,Feb-24,380
RIAU,Feb-24,200
SULAWESI BARAT,Feb-24,248
SULAWESI SELATA,Feb-24,865
SULAWESI TENGAH,Feb-24,362
SULAWESI TENGGARA,Feb-24,"1,575"
SULAWESI UTARA,Feb-24,832
SUMATERA BARAT,Feb-24,229
SUMATERA SELATA,Feb-24,"1,214"
SUMATERA UTARA,Feb-24,442
ACEH,Jan-24,279
BABEL,Jan-24,402
BALI,Jan-24,709
BANTEN,Jan-24,"1,646"
BENGKULU,Jan-24,319
D.I YOGYA,Jan-24,140
DKI JAKARTA,Jan-24,310
GORONTALO,Jan-24,381
JAMBI,Jan-24,274
JAWA BARAT,Jan-24,"4,833"
JAWA TENGAH,Jan-24,"1,293"
JAWA TIMUR,Jan-24,"2,605"
KALIMANTAN BARAT,Jan-24,885
KALIMANTAN SELATA,Jan-24,"1,588"
KALIMANTAN TENGAH,Jan-24,"1,623"
KALIMANTAN TIMUR,Jan-24,"1,515"
KALIMANTAN UTARA,Jan-24,65
KEPULAUAN RIAU,Jan-24,95
LAMPUNG,Jan-24,580
MALUKU,Jan-24,99
MALUKU UTARA,Jan-24,131
NUSA TENGGARA BARAT,Jan-24,301
NUSA TENGGARA TIMUR,Jan-24,429
PAPUA,Jan-24,44
PAPUA BARAT,Jan-24,146
PAPUA BARAT DAYA,Jan-24,
PAPUA PEGUNUNGAN,Jan-24,
PAPUA SELATAN,Jan-24,
PAPUA TENGAH,Jan-24,214
RIAU,Jan-24,201
SULAWESI BARAT,Jan-24,290
SULAWESI SELATA,Jan-24,746
SULAWESI TENGAH,Jan-24,242
SULAWESI TENGGARA,Jan-24,"1,290"
SULAWESI UTARA,Jan-24,900
SUMATERA BARAT,Jan-24,234
SUMATERA SELATA,Jan-24,"1,585"
SUMATERA UTARA,Jan-24,551
ACEH,Dec-23,169
BABEL,Dec-23,376
BALI,Dec-23,267
BANTEN,Dec-23,675
BENGKULU,Dec-23,183
D.I YOGYA,Dec-23,26
DKI JAKARTA,Dec-23,117
GORONTALO,Dec-23,96
JAMBI,Dec-23,165
JAWA BARAT,Dec-23,"2,071"
JAWA TENGAH,Dec-23,404
JAWA TIMUR,Dec-23,725
KALIMANTAN BARAT,Dec-23,"1,356"
KALIMANTAN SELATA,Dec-23,796
KALIMANTAN TENGAH,Dec-23,"1,330"
KALIMANTAN TIMUR,Dec-23,665
KALIMANTAN UTARA,Dec-23,31
KEPULAUAN RIAU,Dec-23,45
LAMPUNG,Dec-23,141
MALUKU,Dec-23,74
MALUKU UTARA,Dec-23,36
NUSA TENGGARA BARAT,Dec-23,120
NUSA TENGGARA TIMUR,Dec-23,254
PAPUA,Dec-23,5
PAPUA BARAT,Dec-23,43
PAPUA BARAT DAYA,Dec-23,0
PAPUA PEGUNUNGAN,Dec-23,0
PAPUA SELATAN,Dec-23,0
PAPUA TENGAH,Dec-23,0
RIAU,Dec-23,251
SULAWESI BARAT,Dec-23,188
SULAWESI SELATA,Dec-23,242
SULAWESI TENGAH,Dec-23,100
SULAWESI TENGGARA,Dec-23,109
SULAWESI UTARA,Dec-23,274
SUMATERA BARAT,Dec-23,151
SUMATERA SELATA,Dec-23,539
SUMATERA UTARA,Dec-23,261
ACEH,Nov-23,182
BABEL,Nov-23,150
BALI,Nov-23,238
BANTEN,Nov-23,352
BENGKULU,Nov-23,100
D.I YOGYA,Nov-23,54
DKI JAKARTA,Nov-23,118
GORONTALO,Nov-23,55
JAMBI,Nov-23,114
JAWA BARAT,Nov-23,"1,326"
JAWA TENGAH,Nov-23,285
JAWA TIMUR,Nov-23,552
KALIMANTAN BARAT,Nov-23,"2,175"
KALIMANTAN SELATA,Nov-23,295
KALIMANTAN TENGAH,Nov-23,969
KALIMANTAN TIMUR,Nov-23,551
KALIMANTAN UTARA,Nov-23,65
KEPULAUAN RIAU,Nov-23,54
LAMPUNG,Nov-23,111
MALUKU,Nov-23,34
MALUKU UTARA,Nov-23,30
NUSA TENGGARA BARAT,Nov-23,132
NUSA TENGGARA TIMUR,Nov-23,190
PAPUA,Nov-23,16
PAPUA BARAT,Nov-23,88
PAPUA BARAT DAYA,Nov-23,0
PAPUA PEGUNUNGAN,Nov-23,0
PAPUA SELATAN,Nov-23,0
PAPUA TENGAH,Nov-23,0
RIAU,Nov-23,240
SULAWESI BARAT,Nov-23,156
SULAWESI SELATA,Nov-23,195
SULAWESI TENGAH,Nov-23,123
SULAWESI TENGGARA,Nov-23,148
SULAWESI UTARA,Nov-23,229
SUMATERA BARAT,Nov-23,157
SUMATERA SELATA,Nov-23,221
SUMATERA UTARA,Nov-23,377
ACEH,Oct-23,210
BABEL,Oct-23,90
BALI,Oct-23,251
BANTEN,Oct-23,261
BENGKULU,Oct-23,73
D.I YOGYA,Oct-23,58
DKI JAKARTA,Oct-23,183
GORONTALO,Oct-23,44
JAMBI,Oct-23,79
JAWA BARAT,Oct-23,"1,323"
JAWA TENGAH,Oct-23,286
JAWA TIMUR,Oct-23,520
KALIMANTAN BARAT,Oct-23,"1,654"
KALIMANTAN SELATA,Oct-23,185
KALIMANTAN TENGAH,Oct-23,471
KALIMANTAN TIMUR,Oct-23,410
KALIMANTAN UTARA,Oct-23,64
KEPULAUAN RIAU,Oct-23,41
LAMPUNG,Oct-23,95
MALUKU,Oct-23,20
MALUKU UTARA,Oct-23,59
NUSA TENGGARA BARAT,Oct-23,111
NUSA TENGGARA TIMUR,Oct-23,81
PAPUA,Oct-23,18
PAPUA BARAT,Oct-23,92
PAPUA BARAT DAYA,Oct-23,0
PAPUA PEGUNUNGAN,Oct-23,0
PAPUA SELATAN,Oct-23,0
PAPUA TENGAH,Oct-23,0
RIAU,Oct-23,231
SULAWESI BARAT,Oct-23,75
SULAWESI SELATA,Oct-23,167
SULAWESI TENGAH,Oct-23,124
SULAWESI TENGGARA,Oct-23,113
SULAWESI UTARA,Oct-23,134
SUMATERA BARAT,Oct-23,132
SUMATERA SELATA,Oct-23,175
SUMATERA UTARA,Oct-23,509
ACEH,Sep-23,164
BABEL,Sep-23,102
BALI,Sep-23,276
BANTEN,Sep-23,388
BENGKULU,Sep-23,103
D.I YOGYA,Sep-23,47
DKI JAKARTA,Sep-23,189
GORONTALO,Sep-23,41
JAMBI,Sep-23,80
JAWA BARAT,Sep-23,"1,469"
JAWA TENGAH,Sep-23,278
JAWA TIMUR,Sep-23,485
KALIMANTAN BARAT,Sep-23,"1,285"
KALIMANTAN SELATA,Sep-23,110
KALIMANTAN TENGAH,Sep-23,463
KALIMANTAN TIMUR,Sep-23,384
KALIMANTAN UTARA,Sep-23,71
KEPULAUAN RIAU,Sep-23,54
LAMPUNG,Sep-23,117
MALUKU,Sep-23,15
MALUKU UTARA,Sep-23,69
NUSA TENGGARA BARAT,Sep-23,75
NUSA TENGGARA TIMUR,Sep-23,44
PAPUA,Sep-23,16
PAPUA BARAT,Sep-23,63
PAPUA BARAT DAYA,Sep-23,0
PAPUA PEGUNUNGAN,Sep-23,0
PAPUA SELATAN,Sep-23,0
PAPUA TENGAH,Sep-23,0
RIAU,Sep-23,177
SULAWESI BARAT,Sep-23,137
SULAWESI SELATA,Sep-23,172
SULAWESI TENGAH,Sep-23,106
SULAWESI TENGGARA,Sep-23,83
