Region,Date,Cases
KALIMANTAN SELATA,Oct-10,11
KALIMANTAN TENGAH,Oct-10,0
KALIMANTAN TIMUR,Oct-10,139
KEPULAUAN RIAU,Oct-10,129
LAMPUNG,Oct-10,108
MALUKU,Oct-10,0
MALUKU UTARA,Oct-10,13
NUSA TENGGARA BARAT,Oct-10,55
NUSA TENGGARA TIMUR,Oct-10,14
PAPUA,Oct-10,0
PAPUA BARAT,Oct-10,0
RIAU,Oct-10,63
SULAWESI BARAT,Oct-10,0
SULAWESI SELATA,Oct-10,375
SULAWESI TENGAH,Oct-10,166
SULAWESI TENGGARA,Oct-10,0
SULAWESI UTARA,Oct-10,50
SUMATERA BARAT,Oct-10,87
SUMATERA SELATA,Oct-10,86
SUMATERA UTARA,Oct-10,859
,,
ACEH,Sep-10,253
BABEL,Sep-10,2
BALI,Sep-10,530
BANTEN,Sep-10,498
BENGKULU,Sep-10,33
D.I YOGYA,Sep-10,210
DKI JAKARTA,Sep-10,"1,302"
GORONTALO,Sep-10,5
JAMBI,Sep-10,3
JAWA BARAT,Sep-10,"1,651"
JAWA TENGAH,Sep-10,936
JAWA TIMUR,Sep-10,465
KALIMANTAN BARAT,Sep-10,33
KALIMANTAN SELATA,Sep-10,13
KALIMANTAN TENGAH,Sep-10,4
KALIMANTAN TIMUR,Sep-10,264
KEPULAUAN RIAU,Sep-10,94
LAMPUNG,Sep-10,88
MALUKU,Sep-10,0
MALUKU UTARA,Sep-10,19
NUSA TENGGARA BARAT,Sep-10,75
NUSA TENGGARA TIMUR,Sep-10,12
PAPUA,Sep-10,1
PAPUA BARAT,Sep-10,0
RIAU,Sep-10,40
SULAWESI BARAT,Sep-10,0
SULAWESI SELATA,Sep-10,172
SULAWESI TENGAH,Sep-10,133
SULAWESI TENGGARA,Sep-10,1
SULAWESI UTARA,Sep-10,52
SUMATERA BARAT,Sep-10,79
SUMATERA SELATA,Sep-10,59
SUMATERA UTARA,Sep-10,959
,,
ACEH,Aug-10,183
BABEL,Aug-10,2
BALI,Aug-10,868
BANTEN,Aug-10,544
BENGKULU,Aug-10,38
D.I YOGYA,Aug-10,305
DKI JAKARTA,Aug-10,"1,569"
GORONTALO,Aug-10,2
JAMBI,Aug-10,14
JAWA BARAT,Aug-10,"2,010"
JAWA TENGAH,Aug-10,997
JAWA TIMUR,Aug-10,778
KALIMANTAN BARAT,Aug-10,22
KALIMANTAN SELATA,Aug-10,15
KALIMANTAN TENGAH,Aug-10,7
KALIMANTAN TIMUR,Aug-10,296
KEPULAUAN RIAU,Aug-10,174
LAMPUNG,Aug-10,134
MALUKU,Aug-10,0
MALUKU UTARA,Aug-10,10
NUSA TENGGARA BARAT,Aug-10,55
NUSA TENGGARA TIMUR,Aug-10,2
PAPUA,Aug-10,24
PAPUA BARAT,Aug-10,0
RIAU,Aug-10,49
SULAWESI BARAT,Aug-10,0
SULAWESI SELATA,Aug-10,102
SULAWESI TENGAH,Aug-10,160
SULAWESI TENGGARA,Aug-10,3
SULAWESI UTARA,Aug-10,53
SUMATERA BARAT,Aug-10,90
SUMATERA SELATA,Aug-10,66
SUMATERA UTARA,Aug-10,"1,043"
,,
ACEH,Jul-10,205
BABEL,Jul-10,3
BALI,Jul-10,"1,578"
BANTEN,Jul-10,539
BENGKULU,Jul-10,40
D.I YOGYA,Jul-10,347
DKI JAKARTA,Jul-10,"1,387"
GORONTALO,Jul-10,15
JAMBI,Jul-10,5
JAWA BARAT,Jul-10,"2,100"
JAWA TENGAH,Jul-10,"1,397"
JAWA TIMUR,Jul-10,"1,230"
KALIMANTAN BARAT,Jul-10,30
KALIMANTAN SELATA,Jul-10,5
KALIMANTAN TENGAH,Jul-10,15
KALIMANTAN TIMUR,Jul-10,276
KEPULAUAN RIAU,Jul-10,139
LAMPUNG,Jul-10,117
MALUKU,Jul-10,0
MALUKU UTARA,Jul-10,11
NUSA TENGGARA BARAT,Jul-10,53
NUSA TENGGARA TIMUR,Jul-10,9
PAPUA,Jul-10,29
PAPUA BARAT,Jul-10,0
RIAU,Jul-10,61
SULAWESI BARAT,Jul-10,0
SULAWESI SELATA,Jul-10,123
SULAWESI TENGAH,Jul-10,211
SULAWESI TENGGARA,Jul-10,0
SULAWESI UTARA,Jul-10,83
SUMATERA BARAT,Jul-10,97
SUMATERA SELATA,Jul-10,65
SUMATERA UTARA,Jul-10,759
,,
ACEH,Jun-10,171
BABEL,Jun-10,9
BALI,Jun-10,"1,645"
BANTEN,Jun-10,517
BENGKULU,Jun-10,59
D.I YOGYA,Jun-10,452
DKI JAKARTA,Jun-10,"1,193"
GORONTALO,Jun-10,47
JAMBI,Jun-10,8
JAWA BARAT,Jun-10,"2,235"
JAWA TENGAH,Jun-10,"1,182"
JAWA TIMUR,Jun-10,"1,701"
KALIMANTAN BARAT,Jun-10,38
KALIMANTAN SELATA,Jun-10,11
KALIMANTAN TENGAH,Jun-10,11
KALIMANTAN TIMUR,Jun-10,432
KEPULAUAN RIAU,Jun-10,178
LAMPUNG,Jun-10,93
MALUKU,Jun-10,0
MALUKU UTARA,Jun-10,7
NUSA TENGGARA BARAT,Jun-10,74
NUSA TENGGARA TIMUR,Jun-10,29
PAPUA,Jun-10,23
PAPUA BARAT,Jun-10,0
RIAU,Jun-10,56
SULAWESI BARAT,Jun-10,5
SULAWESI SELATA,Jun-10,187
SULAWESI TENGAH,Jun-10,130
SULAWESI TENGGARA,Jun-10,2
SULAWESI UTARA,Jun-10,67
SUMATERA BARAT,Jun-10,100
SUMATERA SELATA,Jun-10,79
SUMATERA UTARA,Jun-10,902
,,
ACEH,May-10,162
BABEL,May-10,9
BALI,May-10,"1,373"
BANTEN,May-10,396
BENGKULU,May-10,56
D.I YOGYA,May-10,491
DKI JAKARTA,May-10,"1,640"
GORONTALO,May-10,64
JAMBI,May-10,10
JAWA BARAT,May-10,"2,694"
JAWA TENGAH,May-10,"1,801"
JAWA TIMUR,May-10,"2,173"
KALIMANTAN BARAT,May-10,17
KALIMANTAN SELATA,May-10,27
KALIMANTAN TENGAH,May-10,14
KALIMANTAN TIMUR,May-10,504
KEPULAUAN RIAU,May-10,95
LAMPUNG,May-10,98
MALUKU,May-10,0
MALUKU UTARA,May-10,21
