Month,Year,Value,Chart_Type,Country
Jan,2009,18532.0,line,Indonesia
Feb,2009,16545.0,line,Indonesia
Mar,2009,17146.0,line,Indonesia
Apr,2009,16647.0,line,Indonesia
May,2009,15654.0,line,Indonesia
June,2009,14120.0,line,Indonesia
July,2009,13703.0,line,Indonesia
Aug,2009,9826.0,line,Indonesia
Sep,2009,7598.0,line,Indonesia
Oct,2009,8345.0,line,Indonesia
Nov,2009,9850.0,line,Indonesia
Dec,2009,10946.0,line,Indonesia
Jan,2010,22796.0,line,Indonesia
Feb,2010,22490.0,line,Indonesia
Mar,2010,19554.0,line,Indonesia
Apr,2010,16274.0,line,Indonesia
May,2010,13364.0,line,Indonesia
June,2010,11643.0,line,Indonesia
July,2010,10929.0,line,Indonesia
Aug,2010,9615.0,line,Indonesia
Sep,2010,7986.0,line,Indonesia
Oct,2010,8149.0,line,Indonesia
Nov,2010,7705.0,line,Indonesia
Dec,2010,5581.0,line,Indonesia
Jan,2011,8492.0,line,Indonesia
Feb,2011,6602.0,line,Indonesia
Mar,2011,6474.0,line,Indonesia
Apr,2011,4838.0,line,Indonesia
May,2011,4811.0,line,Indonesia
June,2011,4486.0,line,Indonesia
July,2011,4432.0,line,Indonesia
Aug,2011,4372.0,line,Indonesia
Sep,2011,3913.0,line,Indonesia
Oct,2011,4837.0,line,Indonesia
Nov,2011,5725.0,line,Indonesia
Dec,2011,6743.0,line,Indonesia
Jan,2012,11396.0,line,Indonesia
Feb,2012,11074.0,line,Indonesia
Mar,2012,9355.0,line,Indonesia
Apr,2012,7983.0,line,Indonesia
May,2012,7999.0,line,Indonesia
June,2012,6887.0,line,Indonesia
July,2012,6009.0,line,Indonesia
Aug,2012,4460.0,line,Indonesia
Sep,2012,4341.0,line,Indonesia
Oct,2012,5507.0,line,Indonesia
Nov,2012,6750.0,line,Indonesia
Dec,2012,8484.0,line,Indonesia
Jan,2013,17230.0,line,Indonesia
Feb,2013,14070.0,line,Indonesia
Mar,2013,12022.0,line,Indonesia
Apr,2013,11907.0,line,Indonesia
May,2013,10871.0,line,Indonesia
June,2013,9170.0,line,Indonesia
July,2013,8726.0,line,Indonesia
Aug,2013,7173.0,line,Indonesia
Sep,2013,6063.0,line,Indonesia
Oct,2013,5703.0,line,Indonesia
Nov,2013,4870.0,line,Indonesia
Dec,2013,4706.0,line,Indonesia
Jan,2014,9445.0,line,Indonesia
Feb,2014,9410.0,line,Indonesia
Mar,2014,8675.0,line,Indonesia
Apr,2014,9088.0,line,Indonesia
May,2014,8896.0,line,Indonesia
June,2014,8353.0,line,Indonesia
July,2014,7360.0,line,Indonesia
Aug,2014,7604.0,line,Indonesia
Sep,2014,7634.0,line,Indonesia
Oct,2014,8149.0,line,Indonesia
Nov,2014,7877.0,line,Indonesia
Dec,2014,7856.0,line,Indonesia
Jan,2015,21267.0,line,Indonesia
Feb,2015,20164.0,line,Indonesia
Mar,2015,14884.0,line,Indonesia
Apr,2015,13658.0,line,Indonesia
May,2015,11787.0,line,Indonesia
June,2015,10005.0,line,Indonesia
July,2015,7194.0,line,Indonesia
Aug,2015,5485.0,line,Indonesia
Sep,2015,4846.0,line,Indonesia
Oct,2015,5215.0,line,Indonesia
Nov,2015,6780.0,line,Indonesia
Dec,2015,8294.0,line,Indonesia
Jan,2016,29672.0,line,Indonesia
Feb,2016,32117.0,line,Indonesia
Mar,2016,27005.0,line,Indonesia
Apr,2016,24239.0,line,Indonesia
May,2016,19075.0,line,Indonesia
June,2016,15183.0,line,Indonesia
July,2016,12005.0,line,Indonesia
Aug,2016,11342.0,line,Indonesia
Sep,2016,9277.0,line,Indonesia
Oct,2016,8855.0,line,Indonesia
Nov,2016,8669.0,line,Indonesia
Dec,2016,6733.0,line,Indonesia
Jan,2017,12675.0,line,Indonesia
Feb,2017,8668.0,line,Indonesia
Mar,2017,7870.0,line,Indonesia
Apr,2017,5888.0,line,Indonesia
May,2017,5427.0,line,Indonesia
June,2017,4190.0,line,Indonesia
July,2017,3836.0,line,Indonesia
Aug,2017,3618.0,line,Indonesia
Sep,2017,3514.0,line,Indonesia
Oct,2017,4127.0,line,Indonesia
Nov,2017,4438.0,line,Indonesia
Dec,2017,4113.0,line,Indonesia
Jan,2018,6168.0,line,Indonesia
Feb,2018,5061.0,line,Indonesia
Mar,2018,5212.0,line,Indonesia
Apr,2018,5420.0,line,Indonesia
May,2018,5554.0,line,Indonesia
June,2018,4685.0,line,Indonesia
July,2018,5303.0,line,Indonesia
Aug,2018,4795.0,line,Indonesia
Sep,2018,4487.0,line,Indonesia
Oct,2018,5508.0,line,Indonesia
Nov,2018,6873.0,line,Indonesia
Dec,2018,6525.0,line,Indonesia
Jan,2019,27445.0,line,Indonesia
Feb,2019,24018.0,line,Indonesia
Mar,2019,18110.0,line,Indonesia
Apr,2019,13642.0,line,Indonesia
May,2019,12556.0,line,Indonesia
June,2019,9514.0,line,Indonesia
July,2019,7738.0,line,Indonesia
Aug,2019,5386.0,line,Indonesia
Sep,2019,4154.0,line,Indonesia
Oct,2019,4376.0,line,Indonesia
Nov,2019,5425.0,line,Indonesia
Dec,2019,5767.0,line,Indonesia
Jan,2020,15950.0,line,Indonesia
Feb,2020,19693.0,line,Indonesia
Mar,2020,19366.0,line,Indonesia
Apr,2020,13160.0,line,Indonesia
May,2020,10725.0,line,Indonesia
June,2020,8106.0,line,Indonesia
July,2020,6329.0,line,Indonesia
Aug,2020,3833.0,line,Indonesia
Sep,2020,2743.0,line,Indonesia
Oct,2020,2419.0,line,Indonesia
Nov,2020,2963.0,line,Indonesia
Dec,2020,3016.0,line,Indonesia
Jan,2021,4567.0,line,Indonesia
Feb,2021,4472.0,line,Indonesia
Mar,2021,5712.0,line,Indonesia
Apr,2021,6211.0,line,Indonesia
May,2021,6677.0,line,Indonesia
June,2021,5444.0,line,Indonesia
July,2021,3422.0,line,Indonesia
Aug,2021,3414.0,line,Indonesia
Sep,2021,4057.0,line,Indonesia
Oct,2021,6092.0,line,Indonesia
Nov,2021,9899.0,line,Indonesia
Dec,2021,13551.0,line,Indonesia
Jan,2022,20486.0,line,Indonesia
Feb,2022,11849.0,line,Indonesia
Mar,2022,10082.0,line,Indonesia
Apr,2022,10664.0,line,Indonesia
May,2022,12470.0,line,Indonesia
June,2022,12762.0,line,Indonesia
July,2022,13118.0,line,Indonesia
Aug,2022,12348.0,line,Indonesia
Sep,2022,10994.0,line,Indonesia
Oct,2022,10135.0,line,Indonesia
Nov,2022,9423.0,line,Indonesia
Dec,2022,8935.0,line,Indonesia
Jan,2023,12611.0,line,Indonesia
Feb,2023,10862.0,line,Indonesia
Mar,2023,10220.0,line,Indonesia
Apr,2023,8042.0,line,Indonesia
May,2023,9447.0,line,Indonesia
June,2023,8115.0,line,Indonesia
July,2023,8052.0,line,Indonesia
Aug,2023,8719.0,line,Indonesia
Sep,2023,7946.0,line,Indonesia
Oct,2023,8339.0,line,Indonesia
Nov,2023,10082.0,line,Indonesia
Dec,2023,12285.0,line,Indonesia
Jan,2024,27268.0,line,Indonesia
Feb,2024,29411.0,line,Indonesia
Mar,2024,32292.0,line,Indonesia
Apr,2024,30123.0,line,Indonesia
May,2024,32020.0,line,Indonesia
June,2024,24098.0,line,Indonesia
July,2024,19265.0,line,Indonesia
Aug,2024,14563.0,line,Indonesia
Sep,2024,11074.0,line,Indonesia
Oct,2024,10970.0,line,Indonesia
Nov,2024,11975.0,line,Indonesia
Dec,2024,14212.0,line,Indonesia
Jan,2025,21417.0,line,Indonesia
Feb,2025,17160.0,line,Indonesia
Mar,2025,11795.0,line,Indonesia
Apr,2025,5750.0,line,Indonesia
May,2025,157.0,line,Indonesia
June,2025,0.0,line,Indonesia
July,2025,0.0,line,Indonesia
Aug,2025,0.0,line,Indonesia
Sep,2025,0.0,line,Indonesia
Oct,2025,0.0,line,Indonesia
Nov,2025,0.0,line,Indonesia
Dec,2025,0.0,line,Indonesia
Jan,2010,1496.0,line,Thailand
Feb,2010,1528.0,line,Thailand
Mar,2010,2020.0,line,Thailand
Apr,2010,1868.0,line,Thailand
May,2010,3666.0,line,Thailand
June,2010,6631.0,line,Thailand
July,2010,10037.0,line,Thailand
Aug,2010,11299.0,line,Thailand
Sep,2010,7463.0,line,Thailand
Oct,2010,3630.0,line,Thailand
Nov,2010,2229.0,line,Thailand
Dec,2010,1282.0,line,Thailand
Jan,2011,1125.0,line,Thailand
Feb,2011,956.0,line,Thailand
Mar,2011,973.0,line,Thailand
Apr,2011,1315.0,line,Thailand
May,2011,3501.0,line,Thailand
June,2011,5337.0,line,Thailand
July,2011,5203.0,line,Thailand
Aug,2011,4352.0,line,Thailand
Sep,2011,2741.0,line,Thailand
Oct,2011,1696.0,line,Thailand
Nov,2011,1615.0,line,Thailand
Dec,2011,945.0,line,Thailand
Jan,2012,857.0,line,Thailand
Feb,2012,938.0,line,Thailand
Mar,2012,1106.0,line,Thailand
Apr,2012,1338.0,line,Thailand
May,2012,2412.0,line,Thailand
June,2012,4372.0,line,Thailand
July,2012,5377.0,line,Thailand
Aug,2012,5080.0,line,Thailand
Sep,2012,4645.0,line,Thailand
Oct,2012,4683.0,line,Thailand
Nov,2012,4938.0,line,Thailand
Dec,2012,3575.0,line,Thailand
Jan,2013,3781.0,line,Thailand
Feb,2013,2918.0,line,Thailand
Mar,2013,3783.0,line,Thailand
Apr,2013,4723.0,line,Thailand
May,2013,8784.0,line,Thailand
June,2013,16663.0,line,Thailand
July,2013,18947.0,line,Thailand
Aug,2013,13555.0,line,Thailand
Sep,2013,6972.0,line,Thailand
Oct,2013,3653.0,line,Thailand
Nov,2013,2574.0,line,Thailand
Dec,2013,1149.0,line,Thailand
Jan,2014,887.0,line,Thailand
Feb,2014,856.0,line,Thailand
Mar,2014,1010.0,line,Thailand
Apr,2014,770.0,line,Thailand
May,2014,1436.0,line,Thailand
June,2014,2637.0,line,Thailand
July,2014,3552.0,line,Thailand
Aug,2014,3365.0,line,Thailand
Sep,2014,2697.0,line,Thailand
Oct,2014,2292.0,line,Thailand
Nov,2014,2237.0,line,Thailand
Dec,2014,1431.0,line,Thailand
Jan,2015,1367.0,line,Thailand
Feb,2015,1160.0,line,Thailand
Mar,2015,1511.0,line,Thailand
Apr,2015,1939.0,line,Thailand
May,2015,4645.0,line,Thailand
June,2015,7937.0,line,Thailand
July,2015,11068.0,line,Thailand
Aug,2015,13461.0,line,Thailand
Sep,2015,12922.0,line,Thailand
Oct,2015,10660.0,line,Thailand
Nov,2015,13731.0,line,Thailand
Dec,2015,6552.0,line,Thailand
Jan,2016,4057.0,line,Thailand
Feb,2016,2505.0,line,Thailand
Mar,2016,2347.0,line,Thailand
Apr,2016,1307.0,line,Thailand
May,2016,1230.0,line,Thailand
June,2016,2503.0,line,Thailand
July,2016,4991.0,line,Thailand
Aug,2016,6676.0,line,Thailand
Sep,2016,5012.0,line,Thailand
Oct,2016,3498.0,line,Thailand
Nov,2016,2627.0,line,Thailand
Dec,2016,1713.0,line,Thailand
Jan,2017,1598.0,line,Thailand
Feb,2017,1229.0,line,Thailand
Mar,2017,1104.0,line,Thailand
Apr,2017,1174.0,line,Thailand
May,2017,2230.0,line,Thailand
June,2017,4411.0,line,Thailand
July,2017,5368.0,line,Thailand
Aug,2017,4812.0,line,Thailand
Sep,2017,3179.0,line,Thailand
Oct,2017,2484.0,line,Thailand
Nov,2017,2512.0,line,Thailand
Dec,2017,1742.0,line,Thailand
Jan,2018,1272.0,line,Thailand
Feb,2018,1183.0,line,Thailand
Mar,2018,1544.0,line,Thailand
Apr,2018,1790.0,line,Thailand
May,2018,4532.0,line,Thailand
June,2018,8765.0,line,Thailand
July,2018,9257.0,line,Thailand
Aug,2018,7976.0,line,Thailand
Sep,2018,5936.0,line,Thailand
Oct,2018,4712.0,line,Thailand
Nov,2018,4493.0,line,Thailand
Dec,2018,3616.0,line,Thailand
Jan,2019,3583.0,line,Thailand
Feb,2019,3195.0,line,Thailand
Mar,2019,3480.0,line,Thailand
Apr,2019,3175.0,line,Thailand
May,2019,5527.0,line,Thailand
June,2019,12892.0,line,Thailand
July,2019,15525.0,line,Thailand
Aug,2019,12464.0,line,Thailand
Sep,2019,9768.0,line,Thailand
Oct,2019,8391.0,line,Thailand
Nov,2019,6842.0,line,Thailand
Dec,2019,3024.0,line,Thailand
Jan,2020,2444.0,line,Thailand
Feb,2020,1782.0,line,Thailand
Mar,2020,1618.0,line,Thailand
Apr,2020,2140.0,line,Thailand
May,2020,4190.0,line,Thailand
June,2020,6690.0,line,Thailand
July,2020,11315.0,line,Thailand
Aug,2020,9027.0,line,Thailand
Sep,2020,5604.0,line,Thailand
Oct,2020,2929.0,line,Thailand
Nov,2020,2036.0,line,Thailand
Dec,2020,1136.0,line,Thailand
Jan,2021,763.0,line,Thailand
Feb,2021,551.0,line,Thailand
Mar,2021,546.0,line,Thailand
Apr,2021,333.0,line,Thailand
May,2021,821.0,line,Thailand
June,2021,1208.0,line,Thailand
July,2021,792.0,line,Thailand
Aug,2021,737.0,line,Thailand
Sep,2021,625.0,line,Thailand
Oct,2021,544.0,line,Thailand
Nov,2021,523.0,line,Thailand
Dec,2021,335.0,line,Thailand
Jan,2022,375.0,line,Thailand
Feb,2022,284.0,line,Thailand
Mar,2022,357.0,line,Thailand
Apr,2022,549.0,line,Thailand
May,2022,1745.0,line,Thailand
June,2022,4883.0,line,Thailand
July,2022,5854.0,line,Thailand
Aug,2022,4833.0,line,Thailand
Sep,2022,4057.0,line,Thailand
Oct,2022,4072.0,line,Thailand
Nov,2022,4247.0,line,Thailand
Dec,2022,3211.0,line,Thailand
Jan,2023,3129.0,line,Thailand
Feb,2023,2338.0,line,Thailand
Mar,2023,2636.0,line,Thailand
Apr,2023,2918.0,line,Thailand
May,2023,4209.0,line,Thailand
June,2023,10750.0,line,Thailand
July,2023,21381.0,line,Thailand
Aug,2023,22536.0,line,Thailand
Sep,2023,15226.0,line,Thailand
Oct,2023,13040.0,line,Thailand
Nov,2023,12803.0,line,Thailand
Dec,2023,8613.0,line,Thailand
Jan,2024,11413.0,line,Thailand
Feb,2024,7123.0,line,Thailand
Mar,2024,5315.0,line,Thailand
Apr,2024,4327.0,line,Thailand
May,2024,4968.0,line,Thailand
June,2024,7992.0,line,Thailand
July,2024,15371.0,line,Thailand
Aug,2024,16119.0,line,Thailand
Sep,2024,11395.0,line,Thailand
Oct,2024,8359.0,line,Thailand
Nov,2024,7006.0,line,Thailand
Dec,2024,5293.0,line,Thailand
Jan,2025,4005.0,line,Thailand
Feb,2025,2269.0,line,Thailand
Mar,2025,2447.0,line,Thailand
Apr,2025,2271.0,line,Thailand
May,2025,4683.0,line,Thailand
June,2025,8697.0,line,Thailand
July,2025,10987.0,line,Thailand
Aug,2025,8610.0,line,Thailand
Sep,2025,4012.0,line,Thailand
Oct,2025,3814.0,line,Thailand
Nov,2025,3218.0,line,Thailand
Dec,2025,2427.0,line,Thailand
Jan,2026,1903.0,line,Thailand
Feb,2026,0.0,line,Thailand
Mar,2026,0.0,line,Thailand
Apr,2026,0.0,line,Thailand
May,2026,0.0,line,Thailand
June,2026,0.0,line,Thailand
July,2026,0.0,line,Thailand
Aug,2026,0.0,line,Thailand
Sep,2026,0.0,line,Thailand
Oct,2026,0.0,line,Thailand
Nov,2026,0.0,line,Thailand
Dec,2026,0.0,line,Thailand
Jan,2017,6343.0,line,Sri Lanka
Feb,2017,5281.0,line,Sri Lanka
Mar,2017,11815.0,line,Sri Lanka
Apr,2017,12574.0,line,Sri Lanka
May,2017,20234.0,line,Sri Lanka
June,2017,21083.0,line,Sri Lanka
July,2017,40474.0,line,Sri Lanka
Aug,2017,23898.0,line,Sri Lanka
Sep,2017,6875.0,line,Sri Lanka
Oct,2017,6603.0,line,Sri Lanka
Nov,2017,10804.0,line,Sri Lanka
Dec,2017,8752.0,line,Sri Lanka
Jan,2018,7141.0,line,Sri Lanka
Feb,2018,4365.0,line,Sri Lanka
Mar,2018,2817.0,line,Sri Lanka
Apr,2018,2325.0,line,Sri Lanka
May,2018,4358.0,line,Sri Lanka
June,2018,4143.0,line,Sri Lanka
July,2018,6578.0,line,Sri Lanka
Aug,2018,4953.0,line,Sri Lanka
Sep,2018,2191.0,line,Sri Lanka
Oct,2018,2349.0,line,Sri Lanka
Nov,2018,3284.0,line,Sri Lanka
Dec,2018,5564.0,line,Sri Lanka
Jan,2019,5402.0,line,Sri Lanka
Feb,2019,3577.0,line,Sri Lanka
Mar,2019,3000.0,line,Sri Lanka
Apr,2019,2399.0,line,Sri Lanka
May,2019,3725.0,line,Sri Lanka
June,2019,4546.0,line,Sri Lanka
July,2019,8834.0,line,Sri Lanka
Aug,2019,7568.0,line,Sri Lanka
Sep,2019,6554.0,line,Sri Lanka
Oct,2019,12649.0,line,Sri Lanka
Nov,2019,15961.0,line,Sri Lanka
Dec,2019,17009.0,line,Sri Lanka
Jan,2020,12006.0,line,Sri Lanka
Feb,2020,6313.0,line,Sri Lanka
Mar,2020,2396.0,line,Sri Lanka
Apr,2020,542.0,line,Sri Lanka
May,2020,833.0,line,Sri Lanka
June,2020,1894.0,line,Sri Lanka
July,2020,2147.0,line,Sri Lanka
Aug,2020,1526.0,line,Sri Lanka
Sep,2020,1507.0,line,Sri Lanka
Oct,2020,875.0,line,Sri Lanka
Nov,2020,636.0,line,Sri Lanka
Dec,2020,1557.0,line,Sri Lanka
Jan,2021,1912.0,line,Sri Lanka
Feb,2021,2355.0,line,Sri Lanka
Mar,2021,2595.0,line,Sri Lanka
Apr,2021,2074.0,line,Sri Lanka
May,2021,1257.0,line,Sri Lanka
June,2021,3428.0,line,Sri Lanka
July,2021,2994.0,line,Sri Lanka
Aug,2021,1136.0,line,Sri Lanka
Sep,2021,1623.0,line,Sri Lanka
Oct,2021,2794.0,line,Sri Lanka
Nov,2021,4058.0,line,Sri Lanka
Dec,2021,9894.0,line,Sri Lanka
Jan,2022,7090.0,line,Sri Lanka
Feb,2022,3056.0,line,Sri Lanka
Mar,2022,3474.0,line,Sri Lanka
Apr,2022,3785.0,line,Sri Lanka
May,2022,5695.0,line,Sri Lanka
June,2022,13254.0,line,Sri Lanka
July,2022,10082.0,line,Sri Lanka
Aug,2022,7549.0,line,Sri Lanka
Sep,2022,4180.0,line,Sri Lanka
Oct,2022,4270.0,line,Sri Lanka
Nov,2022,6489.0,line,Sri Lanka
Dec,2022,7331.0,line,Sri Lanka
Jan,2023,8148.0,line,Sri Lanka
Feb,2023,6828.0,line,Sri Lanka
Mar,2023,7330.0,line,Sri Lanka
Apr,2023,7190.0,line,Sri Lanka
May,2023,10909.0,line,Sri Lanka
June,2023,9143.0,line,Sri Lanka
July,2023,6679.0,line,Sri Lanka
Aug,2023,5718.0,line,Sri Lanka
Sep,2023,2397.0,line,Sri Lanka
Oct,2023,3631.0,line,Sri Lanka
Nov,2023,9373.0,line,Sri Lanka
Dec,2023,11313.0,line,Sri Lanka
Jan,2024,10752.0,line,Sri Lanka
Feb,2024,6047.0,line,Sri Lanka
Mar,2024,3629.0,line,Sri Lanka
Apr,2024,2234.0,line,Sri Lanka
May,2024,2650.0,line,Sri Lanka
June,2024,3312.0,line,Sri Lanka
July,2024,4519.0,line,Sri Lanka
Aug,2024,3896.0,line,Sri Lanka
Sep,2024,2772.0,line,Sri Lanka
Oct,2024,2964.0,line,Sri Lanka
Nov,2024,3498.0,line,Sri Lanka
Dec,2024,3604.0,line,Sri Lanka
Jan,2025,4942.0,line,Sri Lanka
Feb,2025,3666.0,line,Sri Lanka
Mar,2025,3771.0,line,Sri Lanka
Apr,2025,5171.0,line,Sri Lanka
May,2025,6035.0,line,Sri Lanka
June,2025,5468.0,line,Sri Lanka
July,2025,4838.0,line,Sri Lanka
Aug,2025,2746.0,line,Sri Lanka
Sep,2025,2403.0,line,Sri Lanka
Oct,2025,2717.0,line,Sri Lanka
Nov,2025,3806.0,line,Sri Lanka
Dec,2025,5900.0,line,Sri Lanka
Jan,2026,7868.0,line,Sri Lanka
Feb,2026,0.0,line,Sri Lanka
Mar,2026,0.0,line,Sri Lanka
Apr,2026,0.0,line,Sri Lanka
May,2026,0.0,line,Sri Lanka
June,2026,0.0,line,Sri Lanka
July,2026,0.0,line,Sri Lanka
Aug,2026,0.0,line,Sri Lanka
Sep,2026,0.0,line,Sri Lanka
Oct,2026,0.0,line,Sri Lanka
Nov,2026,0.0,line,Sri Lanka
