Region,Date,Cases
DKI JAKARTA,Aug-15,173
GORONTALO,Aug-15,7
JAMBI,Aug-15,50
JAWA BARAT,Aug-15,"1,041"
JAWA TENGAH,Aug-15,573
JAWA TIMUR,Aug-15,607
KALIMANTAN BARAT,Aug-15,8
KALIMANTAN SELATA,Aug-15,45
KALIMANTAN TENGAH,Aug-15,18
KALIMANTAN TIMUR,Aug-15,377
KALIMANTAN UTARA,Aug-15,43
KEPULAUAN RIAU,Aug-15,160
LAMPUNG,Aug-15,138
MALUKU,Aug-15,1
MALUKU UTARA,Aug-15,17
NUSA TENGGARA BARAT,Aug-15,26
NUSA TENGGARA TIMUR,Aug-15,3
PAPUA,Aug-15,23
PAPUA BARAT,Aug-15,3
RIAU,Aug-15,166
SULAWESI BARAT,Aug-15,23
SULAWESI SELATA,Aug-15,224
SULAWESI TENGAH,Aug-15,95
SULAWESI TENGGARA,Aug-15,54
SULAWESI UTARA,Aug-15,0
SUMATERA BARAT,Aug-15,248
SUMATERA SELATA,Aug-15,128
SUMATERA UTARA,Aug-15,361
,,
ACEH,Jul-15,79
BABEL,Jul-15,20
BALI,Jul-15,725
BANTEN,Jul-15,214
BENGKULU,Jul-15,72
D.I YOGYA,Jul-15,234
DKI JAKARTA,Jul-15,331
GORONTALO,Jul-15,2
JAMBI,Jul-15,47
JAWA BARAT,Jul-15,"1,519"
JAWA TENGAH,Jul-15,"1,038"
JAWA TIMUR,Jul-15,738
KALIMANTAN BARAT,Jul-15,12
KALIMANTAN SELATA,Jul-15,60
KALIMANTAN TENGAH,Jul-15,27
KALIMANTAN TIMUR,Jul-15,324
KALIMANTAN UTARA,Jul-15,40
KEPULAUAN RIAU,Jul-15,141
LAMPUNG,Jul-15,112
MALUKU,Jul-15,1
MALUKU UTARA,Jul-15,6
NUSA TENGGARA BARAT,Jul-15,72
NUSA TENGGARA TIMUR,Jul-15,2
PAPUA,Jul-15,13
PAPUA BARAT,Jul-15,4
RIAU,Jul-15,145
SULAWESI BARAT,Jul-15,82
SULAWESI SELATA,Jul-15,236
SULAWESI TENGAH,Jul-15,82
SULAWESI TENGGARA,Jul-15,88
SULAWESI UTARA,Jul-15,0
SUMATERA BARAT,Jul-15,243
SUMATERA SELATA,Jul-15,122
SUMATERA UTARA,Jul-15,369
,,
ACEH,Jun-15,67
BABEL,Jun-15,28
BALI,Jun-15,"1,269"
BANTEN,Jun-15,253
BENGKULU,Jun-15,68
D.I YOGYA,Jun-15,361
DKI JAKARTA,Jun-15,548
GORONTALO,Jun-15,4
JAMBI,Jun-15,59
JAWA BARAT,Jun-15,"2,195"
JAWA TENGAH,Jun-15,"1,349"
JAWA TIMUR,Jun-15,"1,194"
KALIMANTAN BARAT,Jun-15,22
KALIMANTAN SELATA,Jun-15,82
KALIMANTAN TENGAH,Jun-15,39
KALIMANTAN TIMUR,Jun-15,371
KALIMANTAN UTARA,Jun-15,55
KEPULAUAN RIAU,Jun-15,107
LAMPUNG,Jun-15,184
MALUKU,Jun-15,3
MALUKU UTARA,Jun-15,10
NUSA TENGGARA BARAT,Jun-15,95
NUSA TENGGARA TIMUR,Jun-15,7
PAPUA,Jun-15,86
PAPUA BARAT,Jun-15,2
RIAU,Jun-15,190
SULAWESI BARAT,Jun-15,37
SULAWESI SELATA,Jun-15,329
SULAWESI TENGAH,Jun-15,62
SULAWESI TENGGARA,Jun-15,108
SULAWESI UTARA,Jun-15,0
SUMATERA BARAT,Jun-15,250
SUMATERA SELATA,Jun-15,150
SUMATERA UTARA,Jun-15,423
,,
ACEH,May-15,68
BABEL,May-15,42
BALI,May-15,"1,394"
BANTEN,May-15,429
BENGKULU,May-15,40
D.I YOGYA,May-15,414
DKI JAKARTA,May-15,725
GORONTALO,May-15,14
JAMBI,May-15,102
JAWA BARAT,May-15,"2,643"
JAWA TENGAH,May-15,"1,544"
JAWA TIMUR,May-15,"1,508"
KALIMANTAN BARAT,May-15,38
KALIMANTAN SELATA,May-15,106
KALIMANTAN TENGAH,May-15,47
KALIMANTAN TIMUR,May-15,397
KALIMANTAN UTARA,May-15,37
KEPULAUAN RIAU,May-15,77
LAMPUNG,May-15,237
MALUKU,May-15,2
MALUKU UTARA,May-15,7
NUSA TENGGARA BARAT,May-15,157
NUSA TENGGARA TIMUR,May-15,7
PAPUA,May-15,86
PAPUA BARAT,May-15,7
RIAU,May-15,170
SULAWESI BARAT,May-15,16
SULAWESI SELATA,May-15,330
SULAWESI TENGAH,May-15,112
SULAWESI TENGGARA,May-15,154
SULAWESI UTARA,May-15,0
SUMATERA BARAT,May-15,268
SUMATERA SELATA,May-15,242
